id,tag,count,cluster,supertag,x,y,original_supertag
5137,tourists,7,25,Traveling,6.5004106,8.820538,Traveling
7177,Following,7,69,Miscellaneous,10.670061,5.4636683,Three
6340,pharmacy,7,45,Shop,6.3186493,5.7251816,Shop
7599,Memorial da América,7,19,Museum,5.7215433,6.763412,Museum
5020,Urban art,7,125,Art,6.3135343,7.349673,Urban Art
7073,Street art,7,48,Art,6.3929267,7.3929768,Art
6331,as fosscari,7,76,City,8.019798,1.5566651,Sorocaba
4865,legends,7,67,History,10.251827,4.578636,Temporary
4717,motor,7,55,Machine,7.6583476,5.6403313,Machine
5725,Trattoria Pontini,7,76,City,7.9038153,1.6838615,Sorocaba
5403,Camino de Santiago,7,72,Christianity,6.3358774,1.151444,San
5387,School,7,40,University,10.886469,7.879577,Humboldt
6348,archi,7,74,Miscellaneous,8.319826,2.4640672,Archi
5104,Traffic light,7,126,Traffic Light,3.963726,7.322221,Traffic Light
7839,Museum of Tomorrow,7,19,Museum,5.604461,6.929143,Museum
7058,hospital,7,57,Hospital,7.8505006,4.8085036,Hospital
4805,plans,7,127,Plans,8.726925,6.2894344,Plans
6025,San Rocco,6,61,Sights,7.1813703,0.10960574,Piazza_61
5092,Demonstration,6,16,Exhibition,10.10213,8.115823,Exhibition
6552,beach,6,128,Beach,4.225754,1.7248702,Beach
4962,Traditional pastry,6,8,Restaurant,11.475122,1.5108236,Restaurant
6410,Judecca,6,60,Church,7.8100696,-0.15313417,Iglesia
5738,seagull,6,11,Birds,10.99757,2.7268891,Birds
5256,ATM,6,129,ATM,7.6319017,4.220296,Atm
5070,Travel,6,25,Traveling,6.3353004,8.800476,Traveling
5158,orientation,6,130,Accessible,7.3999934,8.339866,Orientation
5477,Stop,6,67,History,9.323376,5.3117247,Temporary
7995,Testingr,6,3,Test,12.807455,5.659992,Test
5854,Voices,6,5,Music,1.675076,5.8871293,Music
7110,French chalet,6,131,House,7.0053897,2.329284,French Chalet
5974,calm,6,2,Tranquillity,12.703085,3.5881095,Tranquillity
4869,door,6,46,Door,8.240262,7.4615364,Porta
7199,Modernist house,6,132,House,5.784548,4.5346055,Modernist House
5309,Stones,6,53,Well,6.819559,6.3997493,Wells
5781,Aosta,6,76,City,8.227492,1.8345331,Sorocaba
5888,plant,6,10,Garden,9.940999,0.62239367,Garden
6248,night,6,14,Night,4.110158,6.668195,Night
5959,Redeemer,6,133,Church,9.761305,3.9624014,Redeemer
6266,headquarters,6,134,Headquarters,8.495794,6.4148626,Headquarters
2902,pizza,6,8,Restaurant,11.72878,1.342351,Restaurant
5502,Joint,6,135,Miscellaneous,8.515737,3.5242434,Joint
7079,wall,6,49,Wall,7.730043,6.99806,Wall
2916,obj.casa,6,34,House,5.972924,4.741953,Japan
7506,Carlos,6,73,Walk,6.877237,1.0563539,Paseo
5392,Catalan pavilion,6,136,House,6.217655,1.4266037,Catalan Pavilion
6299,pace,6,2,Tranquillity,12.686552,3.6370978,Tranquillity
5167,Traffic,6,137,Traffic,4.808395,9.696099,Traffic
5107,Missing tactile paving,5,50,Tactile,7.3027134,7.682514,Tactile
5079,Interviews,5,42,Interview,11.182768,6.2881985,Interview
5357,Kerns juices,5,9,Fruits,9.504919,0.84938556,Fruits
6116,shopping,5,45,Shop,6.2886367,5.6801825,Shop
6027,relief,5,58,Politics,9.708054,5.519625,Incivility
7717,MAM,5,39,Friends,10.286856,6.7241883,Friends
5182,Football,5,23,Game,4.0186524,5.02541,Game
7323,Avenida Paulista,5,72,Christianity,6.3802805,0.9960338,San
7294,Exhibitions,5,16,Exhibition,10.014689,8.189362,Exhibition
5879,gondola,5,0,Boats,3.7797709,1.7979599,Boats
7348,Santa Catarina Hospital,5,72,Christianity,6.4723363,0.77797097,San
5967,Fish market,5,12,Fish,11.488612,2.492861,Pesce
5361,Summer,5,13,Rain,4.4070997,6.007526,Rain
5621,silence,5,2,Tranquillity,12.686109,3.712282,Tranquillity
5791,calm,5,2,Tranquillity,12.69738,3.5769942,Tranquillity
6228,Water danger,5,1,Water,3.814233,2.9475296,Water
7677,Bahia,5,64,Brazilian culture,5.7807207,1.8304181,Brazil
5026,girl,5,41,Girls,10.43853,7.264999,Girls
5402,Santiago de Compostela,5,72,Christianity,6.253063,1.1803336,San
4955,Rag,5,66,Miscellaneous,8.274246,4.1060357,Parapet
5742,books,5,38,Library,11.373414,7.089755,Library
6505,Service,5,52,Platform,9.240277,6.450186,Platforms
5347,Trojan house,5,34,House,6.0866776,4.653188,Japan
7278,dance,5,20,Dance,5.766747,8.258008,Dance
5133,curiosity,5,70,Miscellaneous,11.070162,5.2073426,Mislata
5727,Station # Yokoham #,5,22,Railway,5.950742,10.57427,Railway
6086,wood,5,6,Tree,9.655525,0.082439035,Tree
5767,Venezia,5,61,Sights,6.8483124,-0.01900568,Piazza_61
5281,Health,5,57,Hospital,8.261207,5.12461,Hospital
4819,entrance,5,46,Door,8.300545,7.494442,Porta
5934,Steps,5,18,Steps,6.9059443,9.388192,Steps
7412,FIESP,5,65,Miscellaneous,9.072909,3.4507515,Sole
5769,Appetizing,4,8,Restaurant,11.514792,1.584869,Restaurant
5686,Capital,4,36,City,5.2476196,3.5232074,Ciudad
7203,Curiosity,4,70,Miscellaneous,11.086073,5.1978383,Mislata
6421,view,4,15,Blind,7.820083,8.252312,Vision
5483,Lock,4,46,Door,8.316944,7.39846,Porta
7992,Sound landscape,4,4,Ambient,1.693844,5.20358,Ambient
5068,Berlinische Galerie,4,28,German culture,6.8114753,3.1971765,Berlin
7900,North Station,4,22,Railway,5.9670134,10.591178,Railway
5829,Colors,4,48,Art,6.6635966,7.272146,Art
5080,Oranienburgerstrasse,4,28,German culture,6.931789,3.1442058,Berlin
5985,Eco,4,30,Open space,7.0276375,4.237933,Open
7044,palm trees,4,6,Tree,9.608056,0.11671709,Tree
5081,What Berlin,4,28,German culture,6.8073435,3.2240036,Berlin
4981,Ramp,4,66,Miscellaneous,8.442299,4.1752334,Parapet
7161,free fair,4,27,Fair,5.4287343,5.645094,Carnevale
5184,playing fields,4,23,Game,4.208768,4.852973,Game
7494,WTF,4,63,Joke,9.980329,4.0556593,Joke
7941,hiking,4,24,Trail,6.900382,8.61611,Loges
7610,Gastronomy,4,8,Restaurant,11.677578,1.4403635,Restaurant
6813,concert,4,5,Music,2.6163912,5.6765723,Music
7180,pastel,4,8,Restaurant,11.313179,1.6802272,Restaurant
5112,Museum island,4,19,Museum,5.534896,6.988372,Museum
5644,Bus stop,4,22,Railway,5.398483,10.214015,Railway
5926,stop,4,67,History,9.311001,5.2592688,Temporary
7183,sugarcane,4,9,Fruits,9.456831,0.7763083,Fruits
7742,Brazil,4,64,Brazilian culture,5.677931,1.7290648,Brazil
7243,São Paulo Cultural Center,4,64,Brazilian culture,5.67453,1.786175,Brazil
5927,Crossroads,4,29,Crossing,4.407172,9.093028,Crossings
6195,games,4,23,Game,3.9685736,5.0328255,Game
5681,Campo Santa Margherita,4,72,Christianity,6.3806057,1.0588429,San
5762,Toilette,4,43,Toilette,7.0623655,5.0059924,Toilette
7639,contemporary art,4,48,Art,6.435351,7.372794,Art
5549,interview,4,42,Interview,11.182929,6.277768,Interview
5913,scoring,4,23,Game,3.9508307,5.0409403,Game
7681,Salvador,4,64,Brazilian culture,5.783651,1.7498385,Brazil
6041,portico,4,46,Door,8.277342,7.479508,Porta
4832,sensorygarden,4,10,Garden,10.033009,0.60126936,Garden
6155,Embarks,4,0,Boats,3.7080755,1.8454118,Boats
7872,UPC,4,66,Miscellaneous,8.874284,4.0962453,Parapet
7561,worm,4,11,Birds,11.168139,2.5956745,Birds
5532,town hall,4,36,City,5.3197083,3.562578,Ciudad
7175,inclusion,4,58,Politics,9.695456,5.746295,Incivility
7851,New server,3,52,Platform,9.159924,6.58797,Platforms
6173,primavera,3,13,Rain,4.3922176,5.9399486,Rain
6312,Fortuny,3,26,Park,4.8975945,4.38035,Park
5874,Santa Marta,3,72,Christianity,6.4568605,1.062554,San
6189,entrance,3,46,Door,8.277614,7.5083976,Porta
7465,photograph,3,47,Photography,6.816523,7.6225224,Photographs
4979,Bus stop,3,22,Railway,5.3701143,10.222537,Railway
6821,pablo,3,73,Walk,7.0908194,1.2116823,Paseo
7632,strawberry,3,9,Fruits,9.534968,0.81044155,Fruits
5877,Playground,3,26,Park,4.793076,4.895663,Park
7260,Berry,3,9,Fruits,9.4899,0.8455783,Fruits
7950,Pont,3,1,Water,3.7512457,2.8100708,Water
6221,abandonment,3,67,History,9.213181,5.1026273,Temporary
7491,Asac,3,75,Yolei,8.244511,1.9374216,Yolei
5000,children running,3,41,Girls,10.445115,7.3580804,Girls
5878,basket,3,44,Market,5.8964877,5.885708,Market
5109,Crossing,3,29,Crossing,4.420724,8.764246,Crossings
7261,Bengal,3,62,Miscellaneous,8.115076,3.6812274,Hhbb
7664,exhibition,3,16,Exhibition,9.992428,8.19701,Exhibition
5208,Performance,3,5,Music,3.1867383,5.5899754,Music
6901,sombra,3,14,Night,4.165683,6.678816,Night
7587,lack of accessibility,3,51,Accessible,8.890751,7.5550995,Accessible
7762,Folklore Museum,3,19,Museum,5.5316234,6.937084,Museum
5315,Right,3,70,Miscellaneous,11.025758,4.9043846,Mislata
7217,Anhangabau Valley,3,28,German culture,6.839106,3.236411,Berlin
6366,fun,3,27,Fair,5.089336,5.553859,Carnevale
5233,Antoni Abad,3,59,Italian culture,7.414446,0.5917546,Barcarizzi
6631,pavilion,3,27,Fair,5.3066244,5.2516227,Carnevale
5342,Fairs,3,27,Fair,5.343784,5.6297,Carnevale
5082,Post -fiction office,3,52,Platform,8.688917,6.575963,Platforms
6863,L'Horta,3,73,Walk,6.9900484,1.2077591,Paseo
5329,cathedral,3,60,Church,8.081491,-0.2785329,Iglesia
5740,Bookshelf,3,38,Library,11.410353,7.129917,Library
4966,Rare things,3,70,Miscellaneous,11.013539,5.3002424,Mislata
5343,San Martín Pinario,3,72,Christianity,6.5906687,0.88825476,San
6206,empty,3,67,History,9.295484,5.0377336,Temporary
6019,pastry shop,3,8,Restaurant,11.589909,1.2576643,Restaurant
7636,Museum,3,19,Museum,5.5492654,6.9788566,Museum
7612,Foundry bar,3,7,Bar,10.489049,1.3793252,Bar
5595,Ice-cream,3,8,Restaurant,11.079903,1.788963,Restaurant
7350,blindwikibr,3,15,Blind,8.518038,8.752011,Vision
5174,Friends,3,39,Friends,10.2264385,6.5285583,Friends
5526,Bank PKOBP Rynek,3,28,German culture,7.3930764,3.4687066,Berlin
6344,Ice-cream,3,8,Restaurant,11.129777,1.7657044,Restaurant
5898,Multidirectional,3,54,Multiple,8.064664,6.4631023,Multidirectional
6954,sonora,3,4,Ambient,1.6422853,5.3072963,Ambient
7170,São Paulo,3,64,Brazilian culture,5.673794,1.7830247,Brazil
6792,Neighborhood exploration,3,37,Village,5.631953,3.7017834,Pueblos
7197,bus,3,22,Railway,5.3279815,10.151442,Railway
5882,ride,3,21,Bicycle,5.263954,8.888184,Bike
6678,Tunnels,3,53,Well,7.0204916,6.2370048,Wells
6403,People Mover,3,25,Traveling,6.05703,8.885055,Traveling
5295,Alameda,3,72,Christianity,6.2549124,1.2876624,San
5886,tightening,3,66,Miscellaneous,8.446596,4.1047506,Parapet
5030,Wifi,3,52,Platform,9.0600815,7.2018685,Platforms
7420,Mequi 1000,3,62,Miscellaneous,8.34472,3.5463846,Hhbb
4816,courtyard,3,37,Village,5.7317863,3.7604196,Pueblos
6280,osteria,3,12,Fish,11.468681,2.455878,Pesce
6198,avenue,3,31,Road,4.3967657,9.556332,Roads
7027,Nazareth,3,60,Church,7.9796376,-0.2453551,Iglesia
5978,portal,3,46,Door,8.557803,7.5768094,Porta
6782,Botanical garden,3,10,Garden,10.071003,0.5738408,Garden
4993,Angelito de Perrita,3,73,Walk,6.975045,1.0353523,Paseo
5587,Book,3,38,Library,11.357987,7.063773,Library
6099,schools,3,40,University,10.892446,7.922115,Humboldt
6249,fruiting them,3,9,Fruits,9.538629,0.7791238,Fruits
5165,Stelenfeld,3,28,German culture,7.189751,3.0485935,Berlin
5859,laguna,3,1,Water,3.7637582,2.8459675,Water
7898,Camino,3,24,Trail,7.034293,8.69991,Loges
7873,bw/EDU,3,40,University,10.958519,7.7508445,Humboldt
5534,Pies,2,8,Restaurant,11.444067,1.6512651,Restaurant
5091,jump,2,20,Dance,5.835669,8.207283,Dance
7920,sound landscape,2,4,Ambient,1.7078505,5.2286234,Ambient
5578,Piano,2,5,Music,2.4591062,5.627104,Music
6270,Seven,2,69,Miscellaneous,10.681018,5.4944935,Three
6551,Beaches,2,0,Boats,4.189329,1.7028368,Boats
7959,Pile,2,66,Miscellaneous,8.80379,3.903861,Parapet
3112,testing,2,3,Test,12.717073,5.5755205,Test
6964,games,2,23,Game,3.9520268,5.0430956,Game
6088,railway,2,22,Railway,5.825617,10.466877,Railway
5193,Water pump,2,1,Water,3.8527222,3.021449,Water
7683,Eodoviaria,2,74,Miscellaneous,8.358906,2.3730357,Archi
5230,Compostela,2,72,Christianity,6.5406823,1.307686,San
4836,hhome,2,62,Miscellaneous,8.143977,3.6106772,Hhbb
7449,singing and enchanting,2,5,Music,2.1753137,5.949744,Music
5640,Main station,2,22,Railway,5.943821,10.55598,Railway
6885,Ratchet,2,65,Miscellaneous,9.071018,3.4220853,Sole
6607,family,2,39,Friends,10.198712,6.741807,Friends
7949,urban elements,2,36,City,5.3269715,3.5654755,Ciudad
6459,tennis court,2,23,Game,4.092153,4.9198723,Game
4948,Test tube,2,3,Test,12.759204,5.6262565,Test
7214,Cheese bread,2,8,Restaurant,11.43947,1.4899215,Restaurant
6923,Tranquillity,2,2,Tranquillity,12.689913,3.5721214,Tranquillity
7249,Institute great,2,40,University,10.997624,7.9685187,Humboldt
6174,Catwalk,2,32,Sidewalk,4.1341186,9.382998,Sidewalks
7435,Gratefulness,2,71,Hello,11.416184,4.3998075,Hello
7450,walking trade,2,45,Shop,6.3432198,5.7450767,Shop
6409,Islands,2,0,Boats,4.0325456,1.7691233,Boats
6048,model building,2,33,Architecture,5.619134,4.1890597,Architecture
7863,Down Syndrome,2,57,Hospital,8.301375,5.1687603,Hospital
5340,Santa Lucia,2,72,Christianity,6.5237346,0.8432695,San
7553,resilience,2,67,History,9.760983,4.907088,Temporary
6339,bakery,2,8,Restaurant,11.612813,1.2138515,Restaurant
6886,adapted brush,2,53,Well,7.616936,6.171395,Wells
6533,supermarket,2,45,Shop,6.282687,5.7059374,Shop
5246,ONCE,2,70,Miscellaneous,11.136486,5.039894,Mislata
6949,show,2,16,Exhibition,10.0142975,8.190617,Exhibition
4860,dissuasive pillar,2,56,Dangerous,8.724077,5.500161,Dangerous
7564,Sidewalk,2,32,Sidewalk,4.0110674,9.499539,Sidewalks
5772,Guggenheim,2,19,Museum,5.7486825,7.069805,Museum
5659,Drum,2,5,Music,2.1452127,5.58033,Music
6924,Doves,2,11,Birds,10.841463,2.7400606,Birds
6029,Decorations,2,48,Art,6.5552187,7.2311378,Art
6272,students,2,40,University,10.854171,7.846926,Humboldt
7805,culturainglesa,2,17,Culture,5.7353745,7.5954843,Culture
6874,Machine,2,55,Machine,7.641857,5.6419916,Machine
7940,Path,2,24,Trail,7.048144,8.69986,Loges
5426,Polish Association of the Blind,2,15,Blind,8.227821,8.640859,Vision
7609,CAMARAGIBE STREET,2,32,Sidewalk,4.0512614,9.464543,Sidewalks
5592,Kiosk,2,45,Shop,6.33248,5.7152014,Shop
7061,animals,2,11,Birds,10.630706,2.845787,Birds
5341,pilgrims,2,60,Church,8.267546,-0.2650878,Iglesia
6376,pizzeria,2,8,Restaurant,11.79039,1.2571039,Restaurant
7476,trees,2,6,Tree,9.662544,0.06878812,Tree
5395,The Serra,2,72,Christianity,6.4196978,1.2065918,San
6950,market,2,44,Market,5.965127,5.8226542,Market
5171,practice,2,20,Dance,6.106185,8.2881565,Dance
6862,Picanya,2,70,Miscellaneous,11.1398535,5.0472465,Mislata
4950,Rain,2,13,Rain,4.270621,6.073474,Rain
5660,silence,2,2,Tranquillity,12.69474,3.7056103,Tranquillity
5454,Rynek fountain,2,1,Water,3.8461676,3.0178146,Water
7634,Sorocaba route,2,72,Christianity,6.5771265,1.4969678,San
7454,Diversity in Paulista,2,73,Walk,7.127515,1.4087789,Paseo
5383,Narrow street,2,32,Sidewalk,4.23567,9.535413,Sidewalks
7751,Natural,2,30,Open space,7.05221,4.202048,Open
5111,Tastmodell,2,50,Tactile,7.671748,7.6608944,Tactile
7274,tactile floor on the right side,2,50,Tactile,7.3587484,7.699416,Tactile
6105,San Polo,2,61,Sights,7.174823,0.0922954,Piazza_61
7665,Carolina Maria,2,72,Christianity,6.5545273,0.8384733,San
6425,venetians,2,61,Sights,6.874808,0.016769605,Piazza_61
6902,flavors,2,8,Restaurant,11.395131,1.7638775,Restaurant
7119,To,2,70,Miscellaneous,11.021201,5.065329,Mislata
5808,Toys,2,53,Well,7.2831745,6.346682,Wells
7324,Vision,2,15,Blind,7.9242363,8.398103,Vision
5924,Arsenal,2,23,Game,4.1928096,4.9917684,Game
5705,vegetables,2,9,Fruits,9.691683,0.82638764,Fruits
4864,wait,2,70,Miscellaneous,11.014857,4.9825997,Mislata
4716,signs,2,29,Crossing,4.4454994,8.901965,Crossings
7009,second part,2,69,Miscellaneous,10.517699,5.587003,Three
6119,poetry,2,38,Library,11.537061,6.8263907,Library
5290,Education,2,40,University,10.9276,7.899543,Humboldt
8004,Yorelei,2,75,Yolei,8.536754,2.0247097,Yolei
