id,tag,count,cluster,supertag,x,y
5041,S-Bahn,15,28,Station,3.2717335,-0.3331617
5622,City game,15,43,City,4.3970256,3.5967891
6369,mare,15,4,Water,7.891158,5.0598907
4795,furniture,15,42,Home,4.1139665,4.922894
4699,jobs,14,56,Works,1.6332223,3.7453783
5039,playground,14,22,Park,5.0530715,5.692156
5173,Coffee table,14,12,Food,-0.7007883,9.222417
6210,bas -reliefs,14,2,Music,7.588374,1.85916
6247,nature,14,16,Green,5.5642095,5.04854
7342,Paulista,14,98,Paulista,3.3816082,8.952591
4707,Political sciences,14,47,Israel,0.057946928,5.1939807
6126,sounds,14,1,Sound,7.8148475,2.8258846
5428,School,13,34,School,-1.7541709,4.134739
4284,street,13,36,Sidewalk,4.8761654,0.66520923
7997,A,13,65,Look,-0.1382742,6.1885123
7998,of the,13,99,Of The,-0.17012198,5.968089
5421,Workshop,13,56,Works,1.5482839,3.7629704
7999,three,13,100,Three,0.21139342,6.015016
6809,streets,13,36,Sidewalk,4.9229555,0.7129644
5122,hotels,13,101,Hotels,3.7869115,5.093673
4851,Vision Australia,13,14,Blind,-1.1407533,1.7692306
6778,Interior,12,42,Home,3.8398685,4.6388745
5698,Bacari,12,102,Bacari,4.081208,8.855044
5314,Museos,11,9,Museum,0.5896036,0.9054757
6063,luci,11,31,Night,5.902618,3.2431648
5736,silence,11,3,Quiet,-1.5181311,7.985416
5247,Disabilities parking,11,103,Disabilities Parking,3.007837,0.41175872
5140,Memorial,11,9,Museum,0.61604154,0.9822424
6367,Scalea,11,69,Sobieszewo,2.2733483,7.18483
4812,good cafe,11,12,Food,-0.4730045,9.703227
5227,architecture,11,43,City,3.83918,4.1901975
5750,perfumes,11,104,Perfumes,0.31620365,8.418583
4808,braille,10,105,Braille,2.2687843,8.225874
5864,Noise,10,1,Sound,8.032204,3.044246
7866,barcelona,10,106,Barcelona,4.316774,9.380222
5855,vento,10,30,Rain,5.9513674,4.2006903
4352,rain,10,30,Rain,6.2052827,4.200449
3683,Testing,9,0,Test,-2.3378205,6.667325
5303,Parque,9,22,Park,5.2343726,5.727012
5965,market,9,40,Market,2.001031,2.6376553
5753,people,9,32,Group,-0.36790347,4.3141994
5804,Tactile maps,9,13,Touch,0.7015803,2.265077
6079,Sculpture,9,15,Paintings,0.32890496,1.63562
6390,binary,9,46,Binary,1.6487249,7.6448298
5365,pueblos,9,44,Neighborhood,4.7064104,4.0704904
4724,colonna,9,107,Colonna,1.8679075,7.0725493
6138,Targa,9,70,Sorocaba,3.3621674,8.008937
5229,Pool,9,4,Water,7.232467,4.7016225
6130,description,8,108,Description,-0.526204,5.6891923
5037,u-Bahn,8,28,Station,3.2518096,-0.35840955
6513,Hello,8,67,Welcome,-0.3607829,7.390688
5234,Blindwiki,8,14,Blind,-1.4747545,1.3250777
7242,test,8,0,Test,-2.3157105,6.6562214
5072,Bicycle,8,24,Bike,3.6980596,0.86913526
7965,Way of lovers,8,48,Sensations,-0.6555935,6.646927
7996,Wednesday,8,109,Wednesday,0.8674145,7.7534204
6039,porta,8,25,Door,3.4076269,3.1978297
4996,aerial obstacle,7,110,Aerial Obstacle,2.4702134,4.187577
5137,tourists,7,17,Trips,2.6895223,1.0899928
7177,Following,7,111,Following,0.28126374,6.0600033
6340,pharmacy,7,39,Shopping,1.5501052,2.5563862
7599,Memorial da América,7,9,Museum,0.59112394,0.9828156
5020,Urban art,7,15,Paintings,0.018255245,1.6080357
7073,Street art,7,15,Paintings,-0.09628036,1.6554495
6331,as fosscari,7,70,Sorocaba,3.0654998,8.293084
4865,legends,7,112,Legends,-0.64204764,5.879242
4717,motor,7,56,Works,1.9354215,4.102883
5725,Trattoria Pontini,7,113,Trattoria Pontini,3.035789,8.356669
5403,Camino de Santiago,7,114,Camino De Santiago,4.2675276,9.306338
5387,School,7,34,School,-1.7423562,4.102241
6348,archi,7,68,Rota,2.954336,7.441334
5104,Traffic light,7,115,Traffic Light,5.8390746,2.7672076
7839,Museum of Tomorrow,7,9,Museum,0.5635052,0.8305157
7058,hospital,7,57,Health,2.288139,4.9706826
4805,plans,7,51,Office,0.9967843,3.9766955
6025,San Rocco,6,54,Venetians,2.934345,9.886764
5092,Demonstration,6,8,Exhibition,-1.1829404,3.344687
6552,beach,6,5,Boat,8.210202,5.309496
4962,Traditional pastry,6,12,Food,-0.29696357,9.302016
6410,Judecca,6,52,Church,2.0377662,9.530924
5738,seagull,6,7,Birds,6.3512774,5.70557
5256,ATM,6,116,Atm,1.4293007,3.921706
5070,Travel,6,17,Trips,2.7753484,1.1330203
5158,orientation,6,117,Orientation,2.7570462,2.3366814
5477,Stop,6,118,Stop,0.94359434,5.2314916
7995,Testingr,6,0,Test,-2.357501,6.6831017
5854,Voices,6,119,Voices,7.2971225,2.667526
7110,French chalet,6,120,French Chalet,2.4687698,8.721421
5974,calm,6,3,Quiet,-1.4308851,8.082869
4869,door,6,25,Door,3.4215105,3.1631896
7199,Modernist house,6,42,Home,4.034157,4.5700655
5309,Stones,6,55,Stones,3.0525377,4.2093463
5781,Aosta,6,70,Sorocaba,3.3566077,7.727275
5888,plant,6,21,Garden,5.602072,6.9455404
6248,night,6,31,Night,5.923459,3.4260423
5959,Redeemer,6,59,Redeemer,1.2640713,6.9525366
6266,headquarters,6,121,Headquarters,1.0891422,3.86107
2902,pizza,6,12,Food,-0.17044587,9.6254425
5502,Joint,6,69,Sobieszewo,1.9903312,6.944309
7079,wall,6,49,Wall,2.8644876,3.6031177
2916,obj.casa,6,42,Home,4.14629,4.7349505
7506,Carlos,6,71,Carlos,3.7418916,9.025088
5392,Catalan pavilion,6,122,Catalan Pavilion,3.9371424,9.523038
6299,pace,6,3,Quiet,-1.4416348,8.047796
5167,Traffic,6,37,Roads,4.199044,0.3895913
5107,Missing tactile paving,5,13,Touch,0.6350988,2.2197578
6994,UPV,5,59,Redeemer,1.3829243,6.804274
5079,Interviews,5,45,Meeting,-0.91492915,5.040925
5357,Kerns juices,5,20,Coco,5.287905,7.6213207
6116,shopping,5,39,Shopping,1.530324,2.5624933
7717,MAM,5,32,Group,-0.64683014,4.2030826
5182,Football,5,33,Game,4.4047346,5.9383545
5538,center,5,6,Memory,2.0094702,0.85762674
7323,Avenida Paulista,5,73,Valencia,4.092388,9.534572
7294,Exhibitions,5,8,Exhibition,-1.1304818,3.2122643
5879,gondola,5,5,Boat,8.685701,5.204026
4775,chains,5,63,Tightening,2.351622,5.5104117
7348,Santa Catarina Hospital,5,72,Santa,4.279722,8.965071
5967,Fish market,5,40,Market,2.1336606,2.6758585
5361,Summer,5,30,Rain,5.8457675,4.2457066
5621,silence,5,3,Quiet,-1.5141394,7.986211
5791,calm,5,3,Quiet,-1.4163182,8.103444
6228,Water danger,5,4,Water,7.2177777,4.711795
7677,Bahia,5,58,Paulo,5.0603976,9.26164
5026,girl,5,35,Children,-1.1156372,4.0286765
4955,Rag,5,63,Tightening,2.1961696,5.771809
5742,books,5,23,Poetry,-1.77511,5.3259315
6505,Service,5,51,Office,0.7596991,3.874074
5347,Trojan house,5,42,Home,3.8849852,4.75406
6085,touch,5,13,Touch,0.3919746,2.5172071
5727,Station # Yokoham #,5,28,Station,3.1099377,-0.5234591
6086,wood,5,19,Tree,6.070177,7.1174097
6670,Amor,5,48,Sensations,-0.590475,6.7668257
5767,Venezia,5,54,Venetians,3.0848548,10.182374
5281,Health,5,57,Health,1.9282923,4.967647
4819,entrance,5,25,Door,3.3919275,3.1875052
5934,Steps,5,27,Steps,3.4158506,2.2866848
7412,FIESP,5,69,Sobieszewo,1.8391333,6.646022
4946,Domingo,4,71,Carlos,3.9814441,9.259042
5769,Appetizing,4,12,Food,-0.26521343,9.452273
6820,Sing,4,2,Music,7.3511014,2.310681
5686,Capital,4,43,City,4.338387,3.5569603
6421,view,4,14,Blind,-1.0657684,1.8549963
5483,Lock,4,25,Door,3.3941276,3.1483772
7992,Sound landscape,4,1,Sound,7.8479958,2.9971015
5068,Berlinische Galerie,4,38,Berlin,3.4780715,6.0228066
7900,North Station,4,28,Station,3.0944936,-0.5277696
5829,Colors,4,15,Paintings,-0.31331515,2.0602686
5080,Oranienburgerstrasse,4,38,Berlin,3.4202487,6.1717415
5985,Eco,4,16,Green,5.5520377,5.0461392
7044,palm trees,4,19,Tree,5.973068,7.3051634
5081,What Berlin,4,38,Berlin,3.4475048,6.0526257
4981,Ramp,4,63,Tightening,2.2427077,5.5740204
5184,playing fields,4,33,Game,4.6328254,6.0680213
7494,WTF,4,60,Second,1.0626695,6.311674
7941,hiking,4,18,Path,3.081128,1.5090146
7610,Gastronomy,4,12,Food,-0.23591307,9.599146
6813,concert,4,2,Music,7.3011813,1.811897
7180,pastel,4,12,Food,-0.22314776,9.174778
5112,Museum island,4,9,Museum,0.6113017,0.82450885
5644,Bus stop,4,28,Station,3.7576041,-0.18073377
5926,stop,4,62,Disaster,0.98016083,5.270492
7183,sugarcane,4,20,Coco,5.257483,7.675422
4954,Castle,4,42,Home,4.04229,4.5529413
7742,Brazil,4,58,Paulo,5.108747,9.339068
7243,São Paulo Cultural Center,4,58,Paulo,5.1023693,9.429702
5927,Crossroads,4,29,Crossing,4.4591475,0.9996554
6195,games,4,33,Game,4.2941604,5.846563
5681,Campo Santa Margherita,4,72,Santa,4.294997,9.10029
5320,Helmet hair,4,24,Bike,3.7034073,0.92464393
7639,contemporary art,4,15,Paintings,-0.08258479,1.6459568
5062,Office,4,51,Office,0.88910407,3.7875519
5549,interview,4,45,Meeting,-0.8774242,5.0609107
5913,scoring,4,33,Game,4.355212,5.8614397
7681,Salvador,4,58,Paulo,4.9801493,9.307851
6041,portico,4,25,Door,3.4128714,3.2108662
4832,sensorygarden,4,21,Garden,5.560166,6.866277
4677,maps,4,44,Neighborhood,4.797151,3.997416
6155,Embarks,4,5,Boat,8.656438,5.1478353
7561,worm,4,7,Birds,6.4333324,5.937913
5532,town hall,4,43,City,4.2829356,3.740147
7175,inclusion,4,47,Israel,0.4300754,4.887126
7114,tedt,4,69,Sobieszewo,2.2290552,7.007495
7851,New server,3,51,Office,0.8141221,3.899686
6173,primavera,3,30,Rain,6.0663505,4.344977
6312,Fortuny,3,33,Game,4.6705585,5.859961
5874,Santa Marta,3,72,Santa,4.2094307,9.112048
6189,entrance,3,25,Door,3.3811755,3.2035797
6774,It goes well,3,66,Good,-0.17699009,6.9369793
7465,photograph,3,15,Paintings,-0.48779383,2.0578818
6821,pablo,3,71,Carlos,3.558748,9.002453
7632,strawberry,3,20,Coco,5.27715,7.5937486
5877,Playground,3,22,Park,5.0090294,5.6804576
7260,Berry,3,20,Coco,5.283681,7.602944
7950,Pont,3,4,Water,7.4594626,4.792634
7993,Vineyards,3,11,Bars,0.748156,8.708167
6221,abandonment,3,62,Disaster,1.0733398,5.29516
7491,Asac,3,68,Rota,3.140011,7.605294
5000,children running,3,35,Children,-1.1721596,4.0054674
7598,GCM,3,59,Redeemer,1.3273771,6.726944
6651,Party,3,32,Group,-0.41109493,4.789458
5109,Crossing,3,29,Crossing,4.5104127,1.2659324
7261,Bengal,3,46,Binary,1.5115153,7.859736
7664,exhibition,3,8,Exhibition,-1.1151317,3.1896842
5208,Performance,3,2,Music,6.8996644,1.705653
6901,sombra,3,31,Night,5.90799,3.4809246
7587,lack of accessibility,3,50,Accessible,0.9797632,3.2374296
7762,Folklore Museum,3,9,Museum,0.6405855,0.8722053
5315,Right,3,65,Look,0.01026122,6.510795
5233,Antoni Abad,3,53,Antoni,3.0236776,9.345429
5082,Post -fiction office,3,51,Office,0.61262804,3.8929043
6863,L'Horta,3,71,Carlos,3.7185192,9.042974
5329,cathedral,3,52,Church,1.8540361,9.4850445
5141,experience,3,48,Sensations,-0.90729326,6.530508
5343,San Martín Pinario,3,71,Carlos,3.834998,9.2965765
6206,empty,3,62,Disaster,0.9787209,5.7189603
6343,craft,3,56,Works,1.9954917,4.38823
6019,pastry shop,3,12,Food,-0.63678014,9.450736
7636,Museum,3,9,Museum,0.5814462,0.8605937
7612,Foundry bar,3,11,Bars,0.63784206,8.801449
5595,Ice-cream,3,12,Food,-0.31753016,8.930495
7350,blindwikibr,3,14,Blind,-1.4669349,1.32882
5174,Friends,3,32,Group,-0.4847946,4.5165954
5972,Aaudiolibro,3,1,Sound,7.742591,2.458925
5526,Bank PKOBP Rynek,3,38,Berlin,2.9210594,6.4947863
6344,Ice-cream,3,12,Food,-0.28186134,8.917135
6954,sonora,3,1,Sound,7.804056,2.726231
7170,São Paulo,3,58,Paulo,5.107182,9.376466
6792,Neighborhood exploration,3,44,Neighborhood,4.6389494,3.9398158
7197,bus,3,28,Station,3.7578366,-0.121970125
5882,ride,3,24,Bike,3.495335,0.9179716
6678,Tunnels,3,55,Stones,3.1593719,3.995259
6403,People Mover,3,26,Exercise,3.723831,1.8506395
5886,tightening,3,63,Tightening,2.3549895,5.650192
4816,courtyard,3,44,Neighborhood,4.5294847,4.066315
7173,dorinanowill,3,68,Rota,2.7362337,7.3915176
6280,osteria,3,7,Birds,6.6398664,5.9775767
5565,club,3,32,Group,-0.32370007,4.6455417
7027,Nazareth,3,52,Church,1.8633584,9.442605
4871,health facilities,3,57,Health,2.3030815,5.030997
5978,portal,3,25,Door,3.2214365,3.1845496
6782,Botanical garden,3,21,Garden,5.57638,6.755391
4993,Angelito de Perrita,3,71,Carlos,3.6667666,9.143999
5587,Book,3,23,Poetry,-1.7599695,5.317526
6099,schools,3,34,School,-1.8170404,4.129721
6249,fruiting them,3,20,Coco,5.3140006,7.5646634
5165,Stelenfeld,3,38,Berlin,3.3615427,6.2986393
5859,laguna,3,4,Water,7.4258246,4.7631555
6483,Darsena,3,68,Rota,3.003231,7.478621
7898,Camino,3,18,Path,3.0189095,1.5458894
5534,Pies,2,12,Food,-0.21126254,9.232402
7005,navigating,2,18,Path,2.801836,1.4718345
5091,jump,2,26,Exercise,4.145067,2.2880566
7920,sound landscape,2,1,Sound,7.859596,2.9824731
5578,Piano,2,2,Music,7.5247188,1.8027626
6551,Beaches,2,5,Boat,8.228446,5.3102255
3112,testing,2,0,Test,-2.3813183,6.7065573
6964,games,2,33,Game,4.298715,5.824907
6088,railway,2,28,Station,3.2029111,-0.4154662
5193,Water pump,2,4,Water,7.1953206,4.675737
6521,Office,2,51,Office,0.9108032,3.7816622
7683,Eodoviaria,2,68,Rota,2.9248927,7.7685614
5230,Compostela,2,72,Santa,4.212543,9.096509
4836,hhome,2,46,Binary,1.5499301,7.917957
7449,singing and enchanting,2,2,Music,7.306326,2.2696679
5640,Main station,2,28,Station,3.0829234,-0.5186831
6885,Ratchet,2,69,Sobieszewo,2.0600555,6.3653545
6607,family,2,32,Group,-0.4859681,4.366685
7949,urban elements,2,43,City,4.4455643,3.6241536
6459,tennis court,2,33,Game,4.5301685,6.0932684
4948,Test tube,2,0,Test,-2.3596714,6.6821113
7214,Cheese bread,2,12,Food,-0.084428184,9.356446
6923,Tranquillity,2,3,Quiet,-1.4333318,8.0708685
7249,Institute great,2,34,School,-1.9112881,4.4067445
6174,Catwalk,2,36,Sidewalk,4.942399,0.7704334
7435,Gratefulness,2,67,Welcome,-0.26492158,7.351871
7804,Popchoir,2,69,Sobieszewo,2.0102963,6.7094593
7450,walking trade,2,39,Shopping,1.6179231,2.5302722
6409,Islands,2,5,Boat,8.360504,5.246763
4728,medici,2,57,Health,2.0681598,5.0699787
5340,Santa Lucia,2,72,Santa,4.173746,8.989406
5155,Street crossing,2,29,Crossing,4.532105,1.0228802
7466,Moreira Salles,2,71,Carlos,3.675966,8.915188
6339,bakery,2,12,Food,-0.67376727,9.568987
6886,adapted brush,2,56,Works,2.2382705,4.5404286
6533,supermarket,2,39,Shopping,1.5971466,2.4208083
5127,cinemas,2,2,Music,6.8719144,1.8367
5246,ONCE,2,65,Look,-0.09998147,6.5667505
6949,show,2,8,Exhibition,-1.1506754,3.220994
4860,dissuasive pillar,2,61,Safety,1.3341274,4.73733
7082,The first eleven of Valencia,2,73,Valencia,4.2714686,9.565427
7564,Sidewalk,2,36,Sidewalk,4.947948,0.7170697
5772,Guggenheim,2,9,Museum,0.43593433,1.0133753
5659,Drum,2,2,Music,7.6131744,2.0477145
6924,Doves,2,7,Birds,6.1709957,5.7240906
6029,Decorations,2,15,Paintings,-0.14608917,1.7315145
6272,students,2,34,School,-1.7823426,4.197508
6822,irene,2,68,Rota,2.851523,7.4201255
7805,culturainglesa,2,10,Cultural,1.12754,1.498543
6874,Machine,2,56,Works,1.9149474,4.0913634
7940,Path,2,18,Path,3.0087347,1.5457437
5426,Polish Association of the Blind,2,14,Blind,-1.3527611,1.5593089
6447,Lido,2,31,Night,5.9436574,3.5789816
7609,CAMARAGIBE STREET,2,36,Sidewalk,4.901014,0.7003357
5592,Kiosk,2,39,Shopping,1.557008,2.5368743
7061,animals,2,7,Birds,6.084292,5.719114
5341,pilgrims,2,52,Church,1.6479493,9.261865
6376,pizzeria,2,12,Food,-0.27358618,9.735314
7476,trees,2,19,Tree,6.1144557,7.1906767
5395,The Serra,2,72,Santa,4.2749324,8.914124
7843,Sustainability,2,16,Green,5.523045,5.0369916
6950,market,2,40,Market,2.021935,2.6431017
5171,practice,2,26,Exercise,3.9503047,2.2780359
5620,dream,2,48,Sensations,-0.75153804,6.631772
6862,Picanya,2,65,Look,-0.13488165,6.429935
4950,Rain,2,30,Rain,6.225404,4.2235255
6685,textures,2,56,Works,2.2470179,4.4134817
5660,silence,2,3,Quiet,-1.5106902,7.9886723
5454,Rynek fountain,2,4,Water,7.2463884,4.7108574
5383,Narrow street,2,36,Sidewalk,4.7745385,0.6145907
7751,Natural,2,16,Green,5.597088,5.113206
7274,tactile floor on the right side,2,13,Touch,0.6180351,2.259119
6105,San Polo,2,54,Venetians,2.8430636,9.843211
7665,Carolina Maria,2,72,Santa,4.2353745,8.933622
6425,venetians,2,54,Venetians,3.072492,10.153635
6902,flavors,2,12,Food,-0.10939476,9.238589
7119,To,2,65,Look,0.1139326,6.33735
5808,Toys,2,56,Works,2.1399844,4.336899
7324,Vision,2,14,Blind,-1.0943229,1.8014882
5924,Arsenal,2,33,Game,4.280689,5.8992786
5705,vegetables,2,20,Coco,5.2811623,7.4208283
4864,wait,2,65,Look,0.09466112,6.424156
4716,signs,2,29,Crossing,4.398391,1.0783257
7009,second part,2,60,Second,0.7297289,6.335171
6119,poetry,2,23,Poetry,-1.5233788,5.7171216
5290,Education,2,34,School,-1.8021991,4.1482954
8004,Yorelei,2,70,Sorocaba,3.451549,7.544786
5661,gretapower,2,51,Office,0.7634407,4.0892596
6354,Movement,2,26,Exercise,3.820099,1.9809799
6721,Plant,2,21,Garden,5.578804,6.94423
5220,Galway,2,4,Water,7.3601823,4.919733
7130,Short hortlarge,2,69,Sobieszewo,1.9836105,6.9905634
5455,Chameleon,2,12,Food,-0.1761832,8.782742
5633,Passage through the streets,2,36,Sidewalk,4.801847,0.84052825
6876,Oven,2,12,Food,0.20202443,9.187146
6133,riva,2,68,Rota,3.0664759,7.6091027
6449,pool,2,4,Water,7.2241473,4.715224
6052,platches,2,12,Food,-0.46932155,9.29298
6632,Venezuela,2,72,Santa,4.241736,8.940492
5594,Toast,2,12,Food,-0.06071512,9.372933
6378,court,2,33,Game,4.328523,6.160291
5971,pesce,2,7,Birds,6.6332474,5.966714
7731,Volunteering,2,47,Israel,0.5924794,4.528449
6676,earrings,2,14,Blind,-1.0284551,1.8593129
6259,navi,2,69,Sobieszewo,1.7613972,6.698992
6545,Environmental description,2,16,Green,5.5632577,5.0462365
6952,interview,2,45,Meeting,-0.90268433,5.0696335
7893,Pedestrian street,2,36,Sidewalk,4.8556905,0.8131825
6791,classroom,2,34,School,-1.7936035,4.170969
5097,Absv,2,59,Redeemer,1.360519,6.7961745
7219,Rota Blindwiw,2,14,Blind,-1.4449924,1.4115701
5417,Hole in the pavement,2,55,Stones,3.0847979,4.125986
5221,NCBI,2,46,Binary,1.5698884,7.593808
5059,BB9,2,46,Binary,1.5639248,7.668577
5741,Acqualta,2,69,Sobieszewo,2.1788425,6.9971404
6489,Utilities,2,51,Office,0.79275054,3.9576435
6095,San Rocco School,2,54,Venetians,2.8366895,9.967518
6332,Job,2,56,Works,1.6083351,3.7584536
5881,dark,2,31,Night,5.9723988,3.3540864
7311,rehearsal,2,2,Music,7.06077,1.686937
7943,Route of the waterfalls,2,18,Path,3.071021,1.6120632
5956,tradition,2,64,Contemporary,-0.2997097,5.782685
6209,manholes,2,55,Stones,3.0506148,4.1863866
7480,tutorial,2,56,Works,1.4942282,3.7744648
7524,holes,2,55,Stones,3.0475676,4.241115
7954,tactile,2,13,Touch,0.50225574,2.223798
6465,s.Elena,2,68,Rota,2.8004782,7.395558
5623,steps,2,27,Steps,3.4277644,2.2671008
6122,tables,2,12,Food,-0.6851674,9.21882
7220,Anhangabaú,2,70,Sorocaba,3.499874,7.5907927
5418,Church,2,52,Church,1.7772645,9.4211035
7602,Memorial America Latina,2,72,Santa,4.15872,9.045029
6278,Attention steps,2,27,Steps,3.3802087,2.2967665
6826,Urban details,2,43,City,4.4899664,3.5744882
7254,Application,2,51,Office,0.73418367,3.6043985
7458,Crafts at Paulista,2,15,Paintings,-0.0380157,1.7792822
5074,Bier,2,11,Bars,0.5640188,8.855962
4969,#Precalecion #terraza #Bar #Cafeteria,2,12,Food,-0.4297826,9.847294
7754,Basalt,2,55,Stones,3.0236568,4.2499633
4793,stalls,2,40,Market,2.067389,2.7559075
7514,Poor Juan,2,71,Carlos,3.7300942,9.081026
7364,Bishop of the Rosary,2,52,Church,2.030905,9.531969
5175,selfies,2,15,Paintings,-0.5657792,2.2065685
7733,Rota I have,2,70,Sorocaba,3.1836324,7.904966
5761,San Marco,2,54,Venetians,2.8857179,9.889607
7209,Rosewood,2,19,Tree,6.0737996,7.203272
5646,disaster,2,62,Disaster,1.2347016,5.4149647
6345,Restoration,2,57,Health,1.8152963,5.1520805
7481,app,2,51,Office,0.3569766,3.52822
7668,sp,2,69,Sobieszewo,1.960333,6.6154084
